mu,stat,vglc,vprod,molar_yield_pct,mass_yield
0.359,optimal,55.1,0.072160596703842,0.13096297042439567,0.0004951929186543791
0.357,optimal,55.1,0.205965056887664,0.3738022811028385,0.0014134090115636092
0.355,optimal,55.1,0.339865295589969,0.6168154184935917,0.002332282372376355
0.35,optimal,55.1,0.615511183387121,1.1170801876354282,0.004223867225167376
0.345,optimal,55.1,0.844464398042331,1.5326032632347204,0.005795029546146072
0.34,optimal,55.1,1.073622851217105,1.948498822535581,0.007367600290366337
0.335,optimal,55.1,1.172822665005336,2.12853478222384,0.008048346397848974
0.33,optimal,55.1,1.189013615815952,2.1579194479418367,0.008159454738881742
0.32,optimal,55.1,1.207501566288812,2.191472897075884,0.008286325948001133
0.28,optimal,55.1,1.258657806260143,2.2843154378586985,0.008637379139575399
0.24,optimal,55.1,1.305566714222521,2.3694495720916895,0.008959285555345694
0.2,optimal,55.1,1.352390109500591,2.4544285108903647,0.009280605151194056
0.16,optimal,55.1,1.399128145911528,2.5392525334147513,0.009601338982671287
0.12,optimal,55.1,1.445780977194238,2.6239219186828273,0.009921488104791083
0.08,optimal,55.1,1.492348757008679,2.7084369455692907,0.010241053572025361
0.05,optimal,55.1,1.527218869237005,2.771722085729592,0.010480345282971414
